job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs
505,Senior AI Data Scientist,UL Solutions,3.9,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,4.0,9.0
506,Senior Data Scientist,Netcore Cloud,4.2,Bengaluru,Bangalore,Data Scientist,4-6 Yrs,4.0,6.0
507,Senior Data Scientist,John Crane Sealing Systems India,3.4,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,4.0,9.0
508,"Sr Manager Data Scientist, Client Analytics",Epsilon Data Management,3.6,Bengaluru,Bangalore,Data Scientist,12-17 Yrs,12.0,17.0
509,Sr Advanced Data Scientist,Sparta Systems,4.1,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
510,Sr. Data Scientist,Vmock,2.1,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,3-6 Yrs,3.0,6.0
511,Senior Data Scientist,Talent Smart Soft Solutions,4.0,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
512,Senior Data Scientist-Manufacturing,LLP S3bglobal Technologies,3.5,Bengaluru,Bangalore,Data Scientist,6-10 Yrs,6.0,10.0
513,Senior Manager Data Scientist,Codincity Digital Technologies,4.7,"Chennai, Bengaluru",Bangalore,Data Scientist,12-21 Yrs,12.0,21.0
514,Senior Data Scientist,Visar Software Llp,3.6,Bengaluru,Bangalore,Data Scientist,8-13 Yrs,8.0,13.0
515,Sr Data Scientist- Search,Target,4.0,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,4.0,9.0
516,Senior Data Scientist,Impact Analytics,4.0,Bengaluru,Bangalore,Data Scientist,3-8 Yrs,3.0,8.0
517,Senior Data Scientist I,Elsevier,3.6,Bengaluru,Bangalore,Data Scientist,7-12 Yrs,7.0,12.0
518,Sr. Data Scientist,Smart,3.7,Bengaluru,Bangalore,Data Scientist,10-15 Yrs,0.0,0.0
519,Senior Data Scientist,Useready,3.1,Bengaluru,Bangalore,Data Scientist,6-12 Yrs,6.0,12.0
520,Senior Data Scientist,Smiths,3.5,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
521,Senior Data Scientist,Definitive Healthcare,3.7,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0
522,Senior Data Scientist,InfoCepts,3.5,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Data Scientist,6-11 Yrs,6.0,11.0
523,Sr. Data Scientist,Tech Stalwart Solution,3.2,Bengaluru,Bangalore,Data Scientist,5-9 Yrs,5.0,9.0
524,Senior Data Scientist,Loadshare Networks,3.5,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0
525,Senior Data Scientist,Bread Financial,3.8,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,4.0,9.0
526,Senior Data Scientist - CP&A,Anheuser Busch InBev,3.3,Bengaluru,Bangalore,Data Scientist,8-10 Yrs,8.0,10.0
527,Senior Data Scientist,Origin Hr,3.5,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
528,"Senior Data Scientist, Payments",Circle Internet Tech,3.6,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
529,Senior Data Scientist,Ecolab Life Sciences,3.7,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0
530,Sr. Data Scientist,Ideapoke,2.3,Bengaluru,Bangalore,Data Scientist,3-4 Yrs,3.0,4.0
